expenseId,propertyId,communitySlug,scope,category,date,amount,glCode
EXP-000001,PROP-00001,charlottes-ridge,property,HOA,2023-10-01,402,GL-HOA
EXP-000002,PROP-00001,charlottes-ridge,property,HOA,2024-01-01,401,GL-HOA
EXP-000003,PROP-00001,charlottes-ridge,property,Insurance,2024-01-01,1345,GL-INSURA
EXP-000004,PROP-00001,charlottes-ridge,property,HOA,2024-04-01,398,GL-HOA
EXP-000005,PROP-00001,charlottes-ridge,property,HOA,2024-07-01,404,GL-HOA
EXP-000006,PROP-00001,charlottes-ridge,property,HOA,2024-10-01,402,GL-HOA
EXP-000007,PROP-00001,charlottes-ridge,property,HOA,2025-01-01,402,GL-HOA
EXP-000008,PROP-00001,charlottes-ridge,property,Insurance,2025-01-01,1297,GL-INSURA
EXP-000009,PROP-00001,charlottes-ridge,property,HOA,2025-04-01,400,GL-HOA
EXP-000010,PROP-00001,charlottes-ridge,property,HOA,2025-07-01,394,GL-HOA
EXP-000011,PROP-00001,charlottes-ridge,property,HOA,2025-10-01,396,GL-HOA
EXP-000012,PROP-00001,charlottes-ridge,property,HOA,2026-01-01,405,GL-HOA
EXP-000013,PROP-00001,charlottes-ridge,property,Insurance,2026-01-01,1272,GL-INSURA
EXP-000014,PROP-00001,charlottes-ridge,property,HOA,2026-04-01,408,GL-HOA
EXP-000015,PROP-00001,charlottes-ridge,property,HOA,2026-07-01,406,GL-HOA
EXP-000016,PROP-00001,charlottes-ridge,property,Marketing,2024-11-21,316,GL-MARKET
EXP-000017,PROP-00001,charlottes-ridge,property,Marketing,2024-09-30,443,GL-MARKET
EXP-000018,PROP-00001,charlottes-ridge,property,Marketing,2025-02-16,652,GL-MARKET
EXP-000019,PROP-00001,charlottes-ridge,property,Marketing,2025-05-25,661,GL-MARKET
EXP-000020,PROP-00001,charlottes-ridge,property,Legal,2024-03-21,1603,GL-LEGAL
EXP-000021,PROP-00001,charlottes-ridge,property,Legal,2024-02-03,1313,GL-LEGAL
EXP-000022,PROP-00001,charlottes-ridge,property,CapEx,2025-04-02,7942,GL-CAPEX
EXP-000023,PROP-00001,charlottes-ridge,property,CapEx,2026-08-18,4745,GL-CAPEX
EXP-000024,PROP-00001,charlottes-ridge,property,CapEx,2024-02-08,8982,GL-CAPEX
EXP-000025,PROP-00001,charlottes-ridge,property,Turn,2024-01-21,2437,GL-TURN
EXP-000026,PROP-00001,charlottes-ridge,property,Turn,2026-09-12,2753,GL-TURN
EXP-000027,PROP-00001,charlottes-ridge,property,Turn,2025-03-26,1284,GL-TURN
EXP-000028,PROP-00002,charlottes-ridge,property,HOA,2023-10-01,208,GL-HOA
EXP-000029,PROP-00002,charlottes-ridge,property,HOA,2024-01-01,208,GL-HOA
EXP-000030,PROP-00002,charlottes-ridge,property,Insurance,2024-01-01,1362,GL-INSURA
EXP-000031,PROP-00002,charlottes-ridge,property,HOA,2024-04-01,210,GL-HOA
EXP-000032,PROP-00002,charlottes-ridge,property,HOA,2024-07-01,213,GL-HOA
EXP-000033,PROP-00002,charlottes-ridge,property,HOA,2024-10-01,207,GL-HOA
EXP-000034,PROP-00002,charlottes-ridge,property,HOA,2025-01-01,207,GL-HOA
EXP-000035,PROP-00002,charlottes-ridge,property,Insurance,2025-01-01,1381,GL-INSURA
EXP-000036,PROP-00002,charlottes-ridge,property,HOA,2025-04-01,210,GL-HOA
EXP-000037,PROP-00002,charlottes-ridge,property,HOA,2025-07-01,206,GL-HOA
EXP-000038,PROP-00002,charlottes-ridge,property,HOA,2025-10-01,217,GL-HOA
EXP-000039,PROP-00002,charlottes-ridge,property,HOA,2026-01-01,208,GL-HOA
EXP-000040,PROP-00002,charlottes-ridge,property,Insurance,2026-01-01,1446,GL-INSURA
EXP-000041,PROP-00002,charlottes-ridge,property,HOA,2026-04-01,210,GL-HOA
EXP-000042,PROP-00002,charlottes-ridge,property,HOA,2026-07-01,217,GL-HOA
EXP-000043,PROP-00002,charlottes-ridge,property,Utilities,2025-03-01,184,GL-UTILIT
EXP-000044,PROP-00002,charlottes-ridge,property,Utilities,2025-04-01,162,GL-UTILIT
EXP-000045,PROP-00002,charlottes-ridge,property,Utilities,2025-05-01,209,GL-UTILIT
EXP-000046,PROP-00002,charlottes-ridge,property,Marketing,2024-09-22,318,GL-MARKET
EXP-000047,PROP-00002,charlottes-ridge,property,Marketing,2024-01-10,684,GL-MARKET
EXP-000048,PROP-00002,charlottes-ridge,property,Marketing,2026-02-10,154,GL-MARKET
EXP-000049,PROP-00002,charlottes-ridge,property,Marketing,2026-04-23,440,GL-MARKET
EXP-000050,PROP-00002,charlottes-ridge,property,Marketing,2025-10-29,506,GL-MARKET
EXP-000051,PROP-00002,charlottes-ridge,property,Marketing,2024-03-12,306,GL-MARKET
EXP-000052,PROP-00002,charlottes-ridge,property,Legal,2025-02-09,1874,GL-LEGAL
EXP-000053,PROP-00002,charlottes-ridge,property,Legal,2024-10-22,1138,GL-LEGAL
EXP-000054,PROP-00002,charlottes-ridge,property,CapEx,2026-02-05,11421,GL-CAPEX
EXP-000055,PROP-00002,charlottes-ridge,property,CapEx,2025-03-07,3162,GL-CAPEX
EXP-000056,PROP-00002,charlottes-ridge,property,Turn,2024-05-23,1705,GL-TURN
EXP-000057,PROP-00002,charlottes-ridge,property,Turn,2024-09-24,1770,GL-TURN
EXP-000058,PROP-00002,charlottes-ridge,property,Turn,2024-04-14,3172,GL-TURN
EXP-000059,PROP-00003,charlottes-ridge,property,HOA,2023-10-01,333,GL-HOA
EXP-000060,PROP-00003,charlottes-ridge,property,HOA,2024-01-01,336,GL-HOA
EXP-000061,PROP-00003,charlottes-ridge,property,Insurance,2024-01-01,1160,GL-INSURA
EXP-000062,PROP-00003,charlottes-ridge,property,HOA,2024-04-01,349,GL-HOA
EXP-000063,PROP-00003,charlottes-ridge,property,HOA,2024-07-01,334,GL-HOA
EXP-000064,PROP-00003,charlottes-ridge,property,HOA,2024-10-01,344,GL-HOA
EXP-000065,PROP-00003,charlottes-ridge,property,HOA,2025-01-01,340,GL-HOA
EXP-000066,PROP-00003,charlottes-ridge,property,Insurance,2025-01-01,1087,GL-INSURA
EXP-000067,PROP-00003,charlottes-ridge,property,HOA,2025-04-01,348,GL-HOA
EXP-000068,PROP-00003,charlottes-ridge,property,HOA,2025-07-01,334,GL-HOA
EXP-000069,PROP-00003,charlottes-ridge,property,HOA,2025-10-01,335,GL-HOA
