leaseId,propertyId,residentId,startDate,endDate,termMonths,monthlyRent,deposit,concessionMonths,renewalOfLeaseId,status
LSE-000001,PROP-00001,RES-00001,2022-06-11,2023-06-11,12,2845,2845,0,,expired
LSE-000002,PROP-00001,RES-00001,2023-07-21,2025-07-21,24,2980,1490,0,LSE-000001,terminated-early
LSE-000003,PROP-00001,RES-00002,2025-10-04,2026-10-04,12,2940,1470,0,,active
LSE-000004,PROP-00002,RES-00003,2024-05-13,2026-05-13,24,2745,1372,0,,expired
LSE-000005,PROP-00002,RES-00003,2026-07-15,2027-07-15,12,2840,1420,0,LSE-000004,active
LSE-000006,PROP-00003,RES-00004,2022-06-10,2023-12-10,18,2485,1242,1,,expired
LSE-000007,PROP-00003,RES-00004,2024-02-06,2026-02-06,24,2575,1287,0,LSE-000006,expired
LSE-000008,PROP-00003,RES-00004,2026-02-25,2027-02-25,12,2675,2675,0,LSE-000007,active
LSE-000009,PROP-00004,RES-00005,2023-09-15,2024-09-15,12,2880,1440,0,,expired
LSE-000010,PROP-00004,RES-00006,2024-10-27,2025-10-27,12,2950,2950,1,,expired
LSE-000011,PROP-00004,RES-00006,2025-11-30,2027-11-30,24,3040,3040,0,LSE-000010,active
LSE-000012,PROP-00005,RES-00007,2021-10-27,2022-10-27,12,2530,2530,0,,expired
LSE-000013,PROP-00005,RES-00007,2022-12-22,2024-12-22,24,2610,2610,0,LSE-000012,expired
LSE-000014,PROP-00005,RES-00008,2025-02-25,2026-02-25,12,2560,1280,0,,expired
LSE-000015,PROP-00005,RES-00009,2026-04-07,2028-04-07,24,2855,1427,0,,active
LSE-000016,PROP-00006,RES-00010,2023-04-21,2025-04-21,24,2750,1375,0,,expired
LSE-000017,PROP-00006,RES-00010,2025-06-28,2027-06-28,24,2965,2965,0,LSE-000016,active
LSE-000018,PROP-00007,RES-00011,2022-09-06,2023-09-06,12,2435,2435,0,,expired
LSE-000019,PROP-00007,RES-00011,2023-09-16,2024-09-16,12,2540,1270,0,LSE-000018,expired
LSE-000020,PROP-00007,RES-00011,2024-10-15,2026-10-15,24,2660,2660,0,LSE-000019,active
LSE-000021,PROP-00008,RES-00012,2023-09-06,2025-09-06,24,2830,2830,0,,expired
LSE-000022,PROP-00008,RES-00013,2025-10-08,2026-10-08,12,3015,1507,0,,active
LSE-000023,PROP-00009,RES-00014,2023-04-03,2025-04-03,24,2495,2495,0,,expired
LSE-000024,PROP-00009,RES-00015,2025-06-17,2027-06-17,24,2790,1395,0,,active
LSE-000025,PROP-00010,RES-00016,2024-03-23,2026-03-23,24,2450,1225,0,,terminated-early
LSE-000026,PROP-00010,RES-00017,2026-04-28,2027-10-28,18,2845,1422,0,,active
LSE-000027,PROP-00011,RES-00018,2023-02-07,2024-02-07,12,2685,2685,0,,expired
LSE-000028,PROP-00011,RES-00018,2024-02-14,2025-02-14,12,2810,1405,0,LSE-000027,expired
LSE-000029,PROP-00011,RES-00018,2025-03-03,2026-03-03,12,2945,1472,0,LSE-000028,expired
LSE-000030,PROP-00011,RES-00019,2026-04-15,2027-04-15,12,3165,1582,0,,active
LSE-000031,PROP-00012,RES-00020,2023-07-10,2024-07-10,12,2785,1392,0,,expired
LSE-000032,PROP-00012,RES-00021,2024-07-25,2025-07-25,12,2985,1492,0,,expired
LSE-000033,PROP-00012,RES-00022,2025-08-04,2027-08-04,24,3115,1557,0,,active
LSE-000034,PROP-00013,RES-00023,2022-04-19,2023-04-19,12,2795,2795,0,,expired
LSE-000035,PROP-00013,RES-00024,2023-06-12,2025-06-12,24,2750,1375,0,,expired
LSE-000036,PROP-00013,RES-00025,2025-08-13,2026-08-13,12,3105,3105,0,,expired
LSE-000037,PROP-00013,RES-00026,2026-09-17,2028-09-17,24,3150,1575,0,,active
LSE-000038,PROP-00014,RES-00027,2021-10-09,2022-10-09,12,2560,1280,0,,expired
LSE-000039,PROP-00014,RES-00027,2022-12-22,2024-06-22,18,2665,1332,0,LSE-000038,expired
LSE-000040,PROP-00014,RES-00027,2024-07-27,2026-07-27,24,2735,1367,0,LSE-000039,expired
LSE-000041,PROP-00015,RES-00028,2022-09-03,2024-03-03,18,2795,1397,0,,expired
LSE-000042,PROP-00015,RES-00029,2024-05-03,2025-11-03,18,3095,1547,0,,expired
LSE-000043,PROP-00015,RES-00029,2025-12-18,2027-12-18,24,3150,1575,0,LSE-000042,active
LSE-000044,PROP-00016,RES-00030,2021-10-17,2023-10-17,24,2395,1197,0,,expired
LSE-000045,PROP-00016,RES-00031,2023-10-28,2025-04-28,18,2495,2495,1,,expired
LSE-000046,PROP-00016,RES-00031,2025-05-16,2026-05-16,12,2635,2635,0,LSE-000045,expired
LSE-000047,PROP-00016,RES-00031,2026-06-07,2028-06-07,24,2715,2715,0,LSE-000046,active
LSE-000048,PROP-00017,RES-00032,2024-08-04,2026-08-04,24,2690,2690,0,,expired
LSE-000049,PROP-00017,RES-00033,2026-09-25,2028-03-25,18,2845,2845,0,,active
LSE-000050,PROP-00018,RES-00034,2022-06-16,2023-06-16,12,2435,1217,0,,expired
LSE-000051,PROP-00018,RES-00035,2023-08-12,2024-08-12,12,2475,2475,0,,expired
LSE-000052,PROP-00018,RES-00035,2024-08-30,2026-08-30,24,2650,1325,0,LSE-000051,expired
LSE-000053,PROP-00018,RES-00036,2026-09-10,2027-09-10,12,2810,2810,0,,active
LSE-000054,PROP-00019,RES-00037,2025-01-22,2026-01-22,12,2820,1410,0,,expired
LSE-000055,PROP-00019,RES-00038,2026-03-27,2027-03-27,12,3040,1520,0,,active
LSE-000056,PROP-00020,RES-00039,2023-10-15,2025-10-15,24,2445,1222,0,,expired
LSE-000057,PROP-00020,RES-00039,2025-11-01,2026-11-01,12,2510,2510,0,LSE-000056,active
LSE-000058,PROP-00021,RES-00040,2023-08-18,2025-08-18,24,2585,2585,0,,expired
LSE-000059,PROP-00021,RES-00040,2025-09-16,2026-09-16,12,2710,1355,0,LSE-000058,expired
LSE-000060,PROP-00022,RES-00041,2024-01-29,2025-01-29,12,2690,1345,0,,expired
LSE-000061,PROP-00022,RES-00042,2025-04-04,2027-04-04,24,3000,3000,0,,active
LSE-000062,PROP-00023,RES-00043,2022-05-04,2024-05-04,24,2425,1212,0,,expired
LSE-000063,PROP-00023,RES-00044,2024-07-01,2026-01-01,18,2630,1315,0,,expired
LSE-000064,PROP-00023,RES-00045,2026-03-11,2027-09-11,18,2855,2855,0,,active
LSE-000065,PROP-00024,RES-00046,2024-03-17,2025-03-17,12,2545,2545,0,,expired
LSE-000066,PROP-00024,RES-00047,2025-05-19,2027-05-19,24,2720,2720,0,,active
LSE-000067,PROP-00025,RES-00048,2024-11-12,2026-11-12,24,2820,2820,0,,active
LSE-000068,PROP-00026,RES-00049,2024-05-23,2025-05-23,12,3065,1532,0,,expired
LSE-000069,PROP-00026,RES-00050,2025-07-07,2027-07-07,24,3060,3060,0,,active
LSE-000070,PROP-00027,RES-00051,2023-03-16,2024-03-16,12,2485,1242,0,,expired
LSE-000071,PROP-00027,RES-00052,2024-05-22,2025-11-22,18,2700,1350,0,,expired
LSE-000072,PROP-00027,RES-00052,2025-12-25,2027-06-25,18,2805,2805,0,LSE-000071,active
LSE-000073,PROP-00028,RES-00053,2023-08-27,2025-08-27,24,2745,2745,0,,expired
LSE-000074,PROP-00028,RES-00053,2025-10-30,2027-10-30,24,2980,1490,0,LSE-000073,active
LSE-000075,PROP-00029,RES-00054,2024-01-17,2025-01-17,12,2495,2495,0,,expired
LSE-000076,PROP-00029,RES-00054,2025-03-21,2027-03-21,24,2585,2585,1,LSE-000075,active
LSE-000077,PROP-00030,RES-00055,2023-04-15,2025-04-15,24,2445,2445,0,,expired
LSE-000078,PROP-00030,RES-00056,2025-06-10,2026-06-10,12,2785,2785,0,,expired
LSE-000079,PROP-00030,RES-00056,2026-08-08,2028-08-08,24,2890,2890,0,LSE-000078,active
LSE-000080,PROP-00031,RES-00057,2023-03-10,2025-03-10,24,2510,1255,1,,expired
LSE-000081,PROP-00031,RES-00057,2025-04-28,2027-04-28,24,2615,2615,0,LSE-000080,active
LSE-000082,PROP-00032,RES-00058,2024-02-12,2026-02-12,24,2815,2815,0,,expired
LSE-000083,PROP-00032,RES-00059,2026-03-09,2027-03-09,12,3060,1530,0,,active
LSE-000084,PROP-00033,RES-00060,2022-07-27,2024-07-27,24,2400,1200,0,,expired
LSE-000085,PROP-00033,RES-00061,2024-09-04,2026-09-04,24,2635,1317,0,,expired
LSE-000086,PROP-00033,RES-00061,2026-09-28,2028-09-28,24,2805,2805,0,LSE-000085,active
LSE-000087,PROP-00034,RES-00062,2022-12-09,2023-12-09,12,2470,1235,0,,expired
LSE-000088,PROP-00034,RES-00063,2024-01-17,2025-01-17,12,2450,2450,0,,expired
LSE-000089,PROP-00034,RES-00063,2025-03-13,2027-03-13,24,2550,2550,0,LSE-000088,active
LSE-000090,PROP-00035,RES-00064,2023-06-25,2025-06-25,24,2750,2750,1,,expired
LSE-000091,PROP-00035,RES-00065,2025-08-15,2026-08-15,12,3100,3100,0,,expired
LSE-000092,PROP-00036,RES-00066,2022-01-13,2023-01-13,12,2470,2470,0,,expired
LSE-000093,PROP-00036,RES-00066,2023-02-24,2024-02-24,12,2535,2535,0,LSE-000092,expired
LSE-000094,PROP-00036,RES-00066,2024-03-25,2025-03-25,12,2650,2650,0,LSE-000093,expired
LSE-000095,PROP-00036,RES-00067,2025-05-11,2026-11-11,18,2795,1397,0,,active
LSE-000096,PROP-00037,RES-00068,2023-06-27,2024-06-27,12,2740,1370,0,,expired
LSE-000097,PROP-00037,RES-00068,2024-08-08,2026-08-08,24,2835,1417,1,LSE-000096,expired
LSE-000098,PROP-00037,RES-00068,2026-08-18,2028-08-18,24,3065,3065,1,LSE-000097,active
