workOrderId,propertyId,category,responsibility,chargedToResident,contributingNeglect,priority,isEmergency,openedDate,closedDate,cost,vendorId,residentReported
WO-000001,PROP-00001,Plumbing - major clog,landlord,False,False,emergency,True,2024-10-24,2024-10-24,436,VEN-0005,False
WO-000002,PROP-00001,Lawn maintenance,resident,True,False,urgent,False,2026-06-18,2026-06-27,213,VEN-0004,True
WO-000003,PROP-00001,Electrical,landlord,False,False,routine,False,2026-03-15,2026-03-17,970,VEN-0002,True
WO-000004,PROP-00001,Turn,landlord,False,False,routine,False,2025-05-28,2025-06-03,5112,VEN-0064,True
WO-000005,PROP-00001,Turn,landlord,False,False,urgent,False,2026-04-10,2026-04-17,3521,VEN-0005,True
WO-000006,PROP-00001,Sprinkler,resident,True,False,routine,False,2024-12-01,2024-12-10,278,VEN-0004,False
WO-000007,PROP-00001,Fence,landlord,False,False,routine,False,2024-09-20,2024-09-23,2226,VEN-0076,True
WO-000008,PROP-00001,Roof,landlord,False,False,routine,False,2025-12-29,2026-01-04,1768,VEN-0006,True
WO-000009,PROP-00001,HVAC - not heating,landlord,False,False,routine,False,2026-03-21,2026-03-29,2562,VEN-0003,True
WO-000010,PROP-00001,HVAC - not cooling,landlord,False,False,routine,False,2026-06-19,2026-06-24,1941,VEN-0003,False
WO-000011,PROP-00002,Plumbing - leak,landlord,False,False,urgent,False,2025-01-03,2025-01-10,1277,VEN-0005,True
WO-000012,PROP-00002,Plumbing - major clog,landlord,False,False,routine,False,2025-10-01,2025-10-09,448,VEN-0005,False
WO-000013,PROP-00002,Appliance,landlord,False,False,routine,False,2025-01-11,2025-01-20,440,VEN-0001,True
WO-000014,PROP-00002,Pest control,resident,True,False,urgent,False,2025-05-24,2025-05-28,218,VEN-0064,False
WO-000015,PROP-00002,Plumbing - leak,landlord,False,False,urgent,False,2024-03-08,2024-03-15,2266,VEN-0005,False
WO-000016,PROP-00002,Plumbing - major clog,landlord,False,False,routine,False,2025-12-29,2026-01-04,434,VEN-0005,True
WO-000017,PROP-00002,Sprinkler,resident,True,False,urgent,False,2026-04-28,2026-05-03,181,VEN-0004,False
WO-000018,PROP-00003,Plumbing - water heater,landlord,False,False,emergency,True,2025-01-23,2025-01-24,1243,VEN-0005,True
WO-000019,PROP-00003,Pest control,resident,True,False,routine,False,2026-08-07,2026-08-15,261,VEN-0043,True
WO-000020,PROP-00003,HVAC - not cooling,landlord,False,False,urgent,False,2025-05-21,2025-05-26,2618,VEN-0003,True
WO-000021,PROP-00003,Lawn maintenance,resident,True,False,routine,False,2024-05-25,2024-05-30,225,VEN-0004,True
WO-000022,PROP-00003,Sprinkler,resident,True,False,routine,False,2024-01-06,2024-01-14,316,VEN-0004,True
WO-000023,PROP-00003,Turn,landlord,False,False,routine,False,2024-07-30,2024-08-09,3433,VEN-0018,True
WO-000024,PROP-00003,Appliance,landlord,False,False,routine,False,2024-01-23,2024-01-29,559,VEN-0001,True
WO-000025,PROP-00003,HVAC - not cooling,landlord,False,False,urgent,False,2025-08-27,2025-09-05,1582,VEN-0003,False
WO-000026,PROP-00003,Pool maintenance,resident,True,False,emergency,True,2025-03-28,2025-03-28,388,VEN-0057,False
WO-000027,PROP-00003,HVAC - not cooling,landlord,False,False,emergency,True,2026-06-07,2026-06-07,2419,VEN-0003,True
WO-000028,PROP-00003,Fence,landlord,False,False,routine,False,2024-09-29,2024-10-01,645,VEN-0002,True
WO-000029,PROP-00003,Lawn maintenance,resident,True,False,routine,False,2025-07-06,2025-07-13,203,VEN-0004,True
WO-000030,PROP-00003,HVAC - not cooling,landlord,False,False,routine,False,2024-03-31,2024-04-08,941,VEN-0003,False
WO-000031,PROP-00003,Appliance,landlord,False,False,routine,False,2025-07-20,2025-07-28,524,VEN-0001,False
WO-000032,PROP-00004,Electrical,landlord,False,False,routine,False,2024-01-20,2024-01-26,448,VEN-0002,True
WO-000033,PROP-00004,HVAC - not cooling,landlord,False,False,urgent,False,2023-12-07,2023-12-16,3157,VEN-0003,True
WO-000034,PROP-00004,Appliance - garbage disposal,landlord,False,False,routine,False,2024-11-11,2024-11-17,408,VEN-0001,False
WO-000035,PROP-00004,Plumbing - hardware,landlord,False,False,routine,False,2025-08-20,2025-08-27,512,VEN-0005,True
WO-000036,PROP-00004,Plumbing - leak,landlord,False,False,urgent,False,2024-11-25,2024-12-04,307,VEN-0005,True
WO-000037,PROP-00004,Plumbing - water heater,landlord,False,False,routine,False,2024-06-09,2024-06-19,2046,VEN-0005,False
WO-000038,PROP-00005,Sprinkler,resident,True,False,urgent,False,2024-02-10,2024-02-15,256,VEN-0004,False
WO-000039,PROP-00005,Plumbing - major clog,landlord,False,False,urgent,False,2026-06-26,2026-07-01,557,VEN-0005,False
WO-000040,PROP-00005,Turn,landlord,False,False,urgent,False,2024-07-06,2024-07-16,2438,VEN-0069,True
WO-000041,PROP-00005,Plumbing - minor clog,resident,True,False,routine,False,2026-07-14,2026-07-20,312,VEN-0005,True
WO-000042,PROP-00005,Pool maintenance,resident,True,False,routine,False,2025-07-29,2025-08-02,759,VEN-0057,True
WO-000043,PROP-00005,Plumbing - minor clog,resident,True,False,urgent,False,2026-09-18,2026-09-20,243,VEN-0005,True
WO-000044,PROP-00005,Turn,landlord,False,False,urgent,False,2023-10-10,2023-10-18,1810,VEN-0048,True
WO-000045,PROP-00005,HVAC - not heating,landlord,False,False,routine,False,2026-08-26,2026-09-05,1552,VEN-0003,False
WO-000046,PROP-00005,Appliance,landlord,False,False,routine,False,2026-07-18,2026-07-28,722,VEN-0001,True
WO-000047,PROP-00005,Electrical,landlord,False,False,routine,False,2026-09-17,2026-09-19,703,VEN-0002,True
WO-000048,PROP-00005,HVAC - not heating,landlord,False,False,routine,False,2024-01-01,2024-01-04,2186,VEN-0003,True
WO-000049,PROP-00005,Pool maintenance,resident,True,False,emergency,True,2026-08-16,2026-08-16,457,VEN-0083,False
WO-000050,PROP-00005,HVAC - not heating,landlord,False,False,urgent,False,2025-12-06,2025-12-12,1633,VEN-0003,True
WO-000051,PROP-00006,Lawn maintenance,resident,True,False,routine,False,2024-04-17,2024-04-22,186,VEN-0004,True
WO-000052,PROP-00006,Plumbing - minor clog,resident,True,False,urgent,False,2023-12-22,2023-12-31,148,VEN-0005,True
