compId,city,state,beds,month,medianRent,sampleSize,source
CMP-000001,Arlington,TX,2,2023-10,2445,51,synthetic
CMP-000002,Arlington,TX,2,2023-11,2420,32,synthetic
CMP-000003,Arlington,TX,2,2023-12,2415,49,synthetic
CMP-000004,Arlington,TX,2,2024-01,2435,49,synthetic
CMP-000005,Arlington,TX,2,2024-02,2470,23,synthetic
CMP-000006,Arlington,TX,2,2024-03,2520,51,synthetic
CMP-000007,Arlington,TX,2,2024-04,2570,22,synthetic
CMP-000008,Arlington,TX,2,2024-05,2610,51,synthetic
CMP-000009,Arlington,TX,2,2024-06,2630,44,synthetic
CMP-000010,Arlington,TX,2,2024-07,2625,34,synthetic
CMP-000011,Arlington,TX,2,2024-08,2595,34,synthetic
CMP-000012,Arlington,TX,2,2024-09,2560,41,synthetic
CMP-000013,Arlington,TX,2,2024-10,2520,35,synthetic
CMP-000014,Arlington,TX,2,2024-11,2490,20,synthetic
CMP-000015,Arlington,TX,2,2024-12,2485,22,synthetic
CMP-000016,Arlington,TX,2,2025-01,2505,38,synthetic
CMP-000017,Arlington,TX,2,2025-02,2545,43,synthetic
CMP-000018,Arlington,TX,2,2025-03,2595,47,synthetic
CMP-000019,Arlington,TX,2,2025-04,2645,34,synthetic
CMP-000020,Arlington,TX,2,2025-05,2685,48,synthetic
CMP-000021,Arlington,TX,2,2025-06,2705,24,synthetic
CMP-000022,Arlington,TX,2,2025-07,2700,45,synthetic
CMP-000023,Arlington,TX,2,2025-08,2670,48,synthetic
CMP-000024,Arlington,TX,2,2025-09,2630,50,synthetic
CMP-000025,Arlington,TX,2,2025-10,2590,26,synthetic
CMP-000026,Arlington,TX,2,2025-11,2560,51,synthetic
CMP-000027,Arlington,TX,2,2025-12,2555,26,synthetic
CMP-000028,Arlington,TX,2,2026-01,2575,35,synthetic
CMP-000029,Arlington,TX,2,2026-02,2615,29,synthetic
CMP-000030,Arlington,TX,2,2026-03,2665,32,synthetic
CMP-000031,Arlington,TX,2,2026-04,2720,32,synthetic
CMP-000032,Arlington,TX,2,2026-05,2760,23,synthetic
CMP-000033,Arlington,TX,2,2026-06,2780,38,synthetic
CMP-000034,Arlington,TX,2,2026-07,2775,21,synthetic
CMP-000035,Arlington,TX,2,2026-08,2745,26,synthetic
CMP-000036,Arlington,TX,2,2026-09,2705,28,synthetic
CMP-000037,Arlington,TX,3,2023-10,2655,31,synthetic
CMP-000038,Arlington,TX,3,2023-11,2625,41,synthetic
CMP-000039,Arlington,TX,3,2023-12,2620,26,synthetic
CMP-000040,Arlington,TX,3,2024-01,2640,41,synthetic
CMP-000041,Arlington,TX,3,2024-02,2680,33,synthetic
CMP-000042,Arlington,TX,3,2024-03,2735,42,synthetic
CMP-000043,Arlington,TX,3,2024-04,2790,38,synthetic
CMP-000044,Arlington,TX,3,2024-05,2830,45,synthetic
CMP-000045,Arlington,TX,3,2024-06,2850,31,synthetic
CMP-000046,Arlington,TX,3,2024-07,2845,22,synthetic
CMP-000047,Arlington,TX,3,2024-08,2815,47,synthetic
CMP-000048,Arlington,TX,3,2024-09,2775,24,synthetic
CMP-000049,Arlington,TX,3,2024-10,2735,44,synthetic
CMP-000050,Arlington,TX,3,2024-11,2705,33,synthetic
CMP-000051,Arlington,TX,3,2024-12,2695,24,synthetic
CMP-000052,Arlington,TX,3,2025-01,2715,33,synthetic
CMP-000053,Arlington,TX,3,2025-02,2760,18,synthetic
CMP-000054,Arlington,TX,3,2025-03,2815,41,synthetic
CMP-000055,Arlington,TX,3,2025-04,2870,18,synthetic
CMP-000056,Arlington,TX,3,2025-05,2915,36,synthetic
CMP-000057,Arlington,TX,3,2025-06,2935,44,synthetic
CMP-000058,Arlington,TX,3,2025-07,2925,26,synthetic
CMP-000059,Arlington,TX,3,2025-08,2895,43,synthetic
CMP-000060,Arlington,TX,3,2025-09,2855,21,synthetic
CMP-000061,Arlington,TX,3,2025-10,2810,27,synthetic
CMP-000062,Arlington,TX,3,2025-11,2780,40,synthetic
CMP-000063,Arlington,TX,3,2025-12,2775,46,synthetic
CMP-000064,Arlington,TX,3,2026-01,2795,20,synthetic
CMP-000065,Arlington,TX,3,2026-02,2835,43,synthetic
CMP-000066,Arlington,TX,3,2026-03,2895,26,synthetic
CMP-000067,Arlington,TX,3,2026-04,2950,35,synthetic
CMP-000068,Arlington,TX,3,2026-05,2995,42,synthetic
CMP-000069,Arlington,TX,3,2026-06,3015,32,synthetic
CMP-000070,Arlington,TX,3,2026-07,3010,45,synthetic
CMP-000071,Arlington,TX,3,2026-08,2980,38,synthetic
CMP-000072,Arlington,TX,3,2026-09,2935,44,synthetic
CMP-000073,Arlington,TX,4,2023-10,2865,22,synthetic
CMP-000074,Arlington,TX,4,2023-11,2835,23,synthetic
CMP-000075,Arlington,TX,4,2023-12,2825,39,synthetic
CMP-000076,Arlington,TX,4,2024-01,2845,31,synthetic
CMP-000077,Arlington,TX,4,2024-02,2890,19,synthetic
CMP-000078,Arlington,TX,4,2024-03,2950,33,synthetic
CMP-000079,Arlington,TX,4,2024-04,3010,19,synthetic
CMP-000080,Arlington,TX,4,2024-05,3055,30,synthetic
CMP-000081,Arlington,TX,4,2024-06,3075,36,synthetic
CMP-000082,Arlington,TX,4,2024-07,3070,39,synthetic
CMP-000083,Arlington,TX,4,2024-08,3040,24,synthetic
CMP-000084,Arlington,TX,4,2024-09,2990,15,synthetic
CMP-000085,Arlington,TX,4,2024-10,2945,20,synthetic
CMP-000086,Arlington,TX,4,2024-11,2915,24,synthetic
CMP-000087,Arlington,TX,4,2024-12,2910,19,synthetic
CMP-000088,Arlington,TX,4,2025-01,2930,34,synthetic
