propertyId,communitySlug,streetAddress,city,state,zip,countyId,beds,baths,sqft,yearBuilt,acquisitionDate,acquisitionPrice,marketRent,status,currentLeaseId
PROP-00001,charlottes-ridge,6050 Juniper Cir,Holly Springs,GA,30115,CTY-001,5,3.5,2827,2018,2018-09-15,502400,2815,vacant,
PROP-00002,charlottes-ridge,6405 Larkspur Ln,Holly Springs,GA,30115,CTY-001,4,3.0,2383,2016,2016-05-22,423800,2560,occupied,LSE-000005
PROP-00003,charlottes-ridge,9851 Redbud Ct,Holly Springs,GA,30115,CTY-001,4,2.5,2605,2018,2018-12-18,484200,2755,occupied,LSE-000007
PROP-00004,charlottes-ridge,4655 Windrose Xing,Holly Springs,GA,30115,CTY-001,4,2.5,2634,2021,2021-03-03,413000,2820,occupied,LSE-000010
PROP-00005,charlottes-ridge,8326 Cypress Ct,Holly Springs,GA,30115,CTY-001,4,2.5,2404,2016,2016-01-09,449000,2590,vacant,
PROP-00006,charlottes-ridge,4052 Hawthorn Cir,Holly Springs,GA,30115,CTY-001,4,2.5,2500,2023,2023-06-08,437000,2745,occupied,LSE-000015
PROP-00007,charlottes-ridge,7025 Redbud Ct,Holly Springs,GA,30115,CTY-001,4,2.5,2194,2016,2016-12-26,390000,2605,occupied,LSE-000018
PROP-00008,charlottes-ridge,2174 Ironwood Ct,Holly Springs,GA,30115,CTY-001,5,3.0,2953,2024,2024-11-10,464300,2905,occupied,LSE-000019
PROP-00009,charlottes-ridge,172 Windrose Path,Holly Springs,GA,30115,CTY-001,5,3.5,2979,2016,2016-03-23,536000,2980,occupied,LSE-000023
PROP-00010,charlottes-ridge,8740 Sable Ct,Holly Springs,GA,30115,CTY-001,4,3.0,2511,2020,2020-03-17,379000,2625,occupied,LSE-000027
PROP-00011,charlottes-ridge,7193 Hawthorn Xing,Holly Springs,GA,30115,CTY-001,4,2.5,2426,2020,2020-05-20,445400,2720,occupied,LSE-000029
PROP-00012,charlottes-ridge,3871 Sable Way,Holly Springs,GA,30115,CTY-001,4,3.0,2268,2024,2024-03-09,424700,2645,occupied,LSE-000031
PROP-00013,charlottes-ridge,5336 Dovetail Ct,Holly Springs,GA,30115,CTY-001,4,3.0,2208,2018,2018-09-15,412300,2675,occupied,LSE-000035
PROP-00014,charlottes-ridge,988 Tanglewood Trl,Holly Springs,GA,30115,CTY-001,4,2.5,2167,2022,2022-06-05,391100,2505,occupied,LSE-000038
PROP-00015,charlottes-ridge,6141 Quail Run Xing,Holly Springs,GA,30115,CTY-001,4,2.5,2176,2017,2017-05-02,405200,2550,occupied,LSE-000042
PROP-00016,charlottes-ridge,8045 Wren Hollow Trl,Holly Springs,GA,30115,CTY-001,4,3.0,2490,2016,2016-05-13,467800,2700,occupied,LSE-000045
PROP-00017,charlottes-ridge,4053 Wren Hollow Dr,Holly Springs,GA,30115,CTY-001,4,3.0,2216,2023,2023-02-10,474700,2695,occupied,LSE-000047
PROP-00018,charlottes-ridge,4937 Dovetail Path,Holly Springs,GA,30115,CTY-001,4,2.5,2691,2016,2016-07-15,473000,2640,occupied,LSE-000050
PROP-00019,charlottes-ridge,6591 Cypress Path,Holly Springs,GA,30115,CTY-001,4,3.0,2477,2019,2019-11-17,459800,2720,occupied,LSE-000053
PROP-00020,charlottes-ridge,7854 Ironwood Ct,Holly Springs,GA,30115,CTY-001,5,3.0,2890,2018,2018-06-02,443600,2835,occupied,LSE-000056
PROP-00021,charlottes-ridge,4521 Hawthorn Dr,Holly Springs,GA,30115,CTY-001,5,3.0,2952,2018,2018-02-13,569100,3090,occupied,LSE-000060
PROP-00022,charlottes-ridge,2027 Blue Heron Xing,Holly Springs,GA,30115,CTY-001,5,3.0,2867,2022,2022-11-24,527800,2940,occupied,LSE-000062
PROP-00023,charlottes-ridge,381 Ironwood Trl,Holly Springs,GA,30115,CTY-001,4,3.0,2057,2023,2023-07-23,423300,2480,turn,
PROP-00024,charlottes-ridge,2220 Sable Ln,Holly Springs,GA,30115,CTY-001,5,3.0,2945,2021,2021-08-07,506800,3020,occupied,LSE-000067
PROP-00025,charlottes-ridge,2789 Dovetail Trl,Holly Springs,GA,30115,CTY-001,5,3.0,2772,2020,2020-12-09,500800,2940,occupied,LSE-000070
PROP-00026,charlottes-ridge,5894 Tanglewood Path,Holly Springs,GA,30115,CTY-001,4,3.0,2318,2018,2018-06-12,468400,2670,occupied,LSE-000073
PROP-00027,charlottes-ridge,3784 Redbud Cir,Holly Springs,GA,30115,CTY-001,5,3.0,2895,2024,2024-10-10,486400,2820,occupied,LSE-000075
PROP-00028,charlottes-ridge,3668 Copper Creek Way,Holly Springs,GA,30115,CTY-001,5,3.0,2999,2023,2023-03-27,439600,2915,occupied,LSE-000078
PROP-00029,charlottes-ridge,6233 Summit Xing,Holly Springs,GA,30115,CTY-001,4,3.0,2142,2016,2016-01-06,454400,2630,occupied,LSE-000081
PROP-00030,charlottes-ridge,5445 Sable Trl,Holly Springs,GA,30115,CTY-001,5,3.0,2977,2024,2024-03-09,453600,2965,occupied,LSE-000084
PROP-00031,charlottes-ridge,2741 Copper Creek Ln,Holly Springs,GA,30115,CTY-001,4,3.0,2596,2017,2017-07-10,399100,2795,occupied,LSE-000088
PROP-00032,charlottes-ridge,7586 Bellflower Trl,Holly Springs,GA,30115,CTY-001,5,3.5,2695,2018,2018-12-10,418800,2965,occupied,LSE-000091
PROP-00033,charlottes-ridge,317 Wren Hollow Way,Holly Springs,GA,30115,CTY-001,4,2.5,2445,2020,2020-07-28,377300,2680,occupied,LSE-000095
PROP-00034,charlottes-ridge,7945 Hawthorn Cir,Holly Springs,GA,30115,CTY-001,4,2.5,2542,2020,2020-09-28,392800,2730,occupied,LSE-000099
PROP-00035,charlottes-ridge,3608 Redbud Ct,Holly Springs,GA,30115,CTY-001,5,3.0,2755,2018,2018-01-05,484800,3065,occupied,LSE-000102
PROP-00036,charlottes-ridge,2359 Blue Heron Xing,Holly Springs,GA,30115,CTY-001,4,2.5,2229,2016,2016-08-21,412500,2510,occupied,LSE-000105
PROP-00037,charlottes-ridge,8905 Silver Oak Way,Holly Springs,GA,30115,CTY-001,4,2.5,2505,2018,2018-12-11,445700,2570,occupied,LSE-000108
PROP-00038,charlottes-ridge,7217 Sable Cir,Holly Springs,GA,30115,CTY-001,4,3.0,2091,2022,2022-03-23,389900,2500,occupied,LSE-000110
PROP-00039,charlottes-ridge,3467 Blue Heron Xing,Holly Springs,GA,30115,CTY-001,5,3.0,2817,2022,2022-03-26,464600,3065,occupied,LSE-000112
PROP-00040,charlottes-ridge,5173 Silver Oak Ct,Holly Springs,GA,30115,CTY-001,4,2.5,2127,2023,2023-12-18,381800,2675,occupied,LSE-000114
PROP-00041,charlottes-ridge,5749 Marigold Dr,Holly Springs,GA,30115,CTY-001,5,3.0,2933,2017,2017-10-10,568700,3035,occupied,LSE-000117
PROP-00042,charlottes-ridge,5046 Juniper Cir,Holly Springs,GA,30115,CTY-001,5,3.0,2624,2020,2020-02-27,523800,3050,occupied,LSE-000122
PROP-00043,charlottes-ridge,1334 Willow Bend Xing,Holly Springs,GA,30115,CTY-001,4,2.5,2241,2018,2018-02-24,480400,2535,occupied,LSE-000125
PROP-00044,charlottes-ridge,4700 Copper Creek Dr,Holly Springs,GA,30115,CTY-001,5,3.0,3227,2017,2017-02-21,461900,3080,occupied,LSE-000128
PROP-00045,charlottes-ridge,630 Summit Trl,Holly Springs,GA,30115,CTY-001,4,2.5,2400,2020,2020-12-26,399200,2620,occupied,LSE-000132
PROP-00046,charlottes-ridge,865 Summit Trl,Holly Springs,GA,30115,CTY-001,5,3.5,2981,2019,2019-10-16,509900,3010,occupied,LSE-000134
PROP-00047,charlottes-ridge,8072 Wren Hollow Dr,Holly Springs,GA,30115,CTY-001,5,3.0,2861,2019,2019-12-12,485400,2860,vacant,
PROP-00048,charlottes-ridge,8944 Quail Run Ln,Holly Springs,GA,30115,CTY-001,4,3.0,2009,2018,2018-09-27,404000,2475,occupied,LSE-000140
PROP-00049,charlottes-ridge,806 Redbud Ln,Holly Springs,GA,30115,CTY-001,5,3.0,3293,2023,2023-11-01,519700,2985,occupied,LSE-000142
PROP-00050,charlottes-ridge,2466 Ironwood Dr,Holly Springs,GA,30115,CTY-001,5,3.5,2922,2016,2016-05-01,539800,2865,occupied,LSE-000145
PROP-00051,grove-at-rosebud,1395 Summit Xing,Loganville,GA,30052,CTY-002,3,2.5,1771,2022,2022-05-25,369100,2560,occupied,LSE-000147
PROP-00052,grove-at-rosebud,608 Wren Hollow Path,Loganville,GA,30052,CTY-002,3,2.5,1516,2024,2024-07-08,365200,2394,occupied,LSE-000149
PROP-00053,grove-at-rosebud,7458 Hawthorn Ct,Loganville,GA,30052,CTY-002,3,2.0,1790,2024,2024-01-24,375200,2445,occupied,LSE-000151
PROP-00054,grove-at-rosebud,8340 Blue Heron Xing,Loganville,GA,30052,CTY-002,3,2.5,2084,2021,2021-02-14,463300,2660,occupied,LSE-000155
PROP-00055,grove-at-rosebud,3358 Quail Run Path,Loganville,GA,30052,CTY-002,3,2.0,1718,2022,2022-10-06,441400,2505,occupied,LSE-000158
PROP-00056,grove-at-rosebud,231 Hawthorn Dr,Loganville,GA,30052,CTY-002,3,2.0,1848,2022,2022-05-27,364700,2435,occupied,LSE-000161
PROP-00057,grove-at-rosebud,4794 Juniper Xing,Loganville,GA,30052,CTY-002,3,2.0,1742,2019,2019-06-23,388100,2515,occupied,LSE-000164
PROP-00058,grove-at-rosebud,9063 Redbud Ct,Loganville,GA,30052,CTY-002,3,2.0,1928,2020,2020-02-25,371100,2560,occupied,LSE-000168
PROP-00059,grove-at-rosebud,6603 Redbud Path,Loganville,GA,30052,CTY-002,3,2.0,1376,2021,2021-05-25,430200,2420,occupied,LSE-000171
PROP-00060,grove-at-rosebud,8257 Silver Oak Ln,Loganville,GA,30052,CTY-002,3,2.0,2073,2019,2019-06-25,467900,2660,occupied,LSE-000175
PROP-00061,grove-at-rosebud,3838 Quail Run Trl,Loganville,GA,30052,CTY-002,3,2.5,1476,2021,2021-03-20,457200,2445,occupied,LSE-000178
PROP-00062,grove-at-rosebud,9020 Bellflower Path,Loganville,GA,30052,CTY-002,3,2.0,1795,2020,2020-09-09,423300,2510,occupied,LSE-000181
PROP-00063,grove-at-rosebud,9781 Willow Bend Ct,Loganville,GA,30052,CTY-002,3,2.0,2232,2023,2023-03-09,409500,2605,occupied,LSE-000184
PROP-00064,grove-at-rosebud,4769 Hawthorn Ct,Loganville,GA,30052,CTY-002,3,2.0,1911,2016,2016-06-09,398400,2650,occupied,LSE-000187
PROP-00065,grove-at-rosebud,2458 Quail Run Ln,Loganville,GA,30052,CTY-002,3,2.0,2121,2018,2018-01-01,453400,2650,turn,
PROP-00066,grove-at-rosebud,9594 Juniper Way,Loganville,GA,30052,CTY-002,3,2.0,1739,2023,2023-12-06,341300,2410,vacant,
PROP-00067,grove-at-rosebud,5597 Redbud Dr,Loganville,GA,30052,CTY-002,3,2.0,1536,2023,2023-12-04,385500,2575,occupied,LSE-000193
PROP-00068,grove-at-rosebud,3604 Willow Bend Ln,Loganville,GA,30052,CTY-002,3,2.0,1582,2019,2019-02-25,428600,2475,occupied,LSE-000196
PROP-00069,grove-at-rosebud,8829 Dovetail Path,Loganville,GA,30052,CTY-002,3,2.0,1513,2017,2017-10-02,368400,2475,occupied,LSE-000199
PROP-00070,grove-at-rosebud,7555 Magnolia Cir,Loganville,GA,30052,CTY-002,3,2.5,1789,2018,2018-07-04,346900,2425,occupied,LSE-000201
PROP-00071,grove-at-rosebud,2921 Larkspur Trl,Loganville,GA,30052,CTY-002,3,2.5,2017,2022,2022-02-11,424600,2440,occupied,LSE-000204
PROP-00072,grove-at-rosebud,1080 Silver Oak Ct,Loganville,GA,30052,CTY-002,3,2.5,1972,2019,2019-05-20,412100,2500,occupied,LSE-000208
PROP-00073,grove-at-rosebud,3981 Bellflower Xing,Loganville,GA,30052,CTY-002,3,2.0,1890,2016,2016-05-12,406500,2485,occupied,LSE-000211
PROP-00074,grove-at-rosebud,3026 Juniper Cir,Loganville,GA,30052,CTY-002,3,2.0,1853,2019,2019-03-27,358600,2480,occupied,LSE-000214
PROP-00075,grove-at-rosebud,1328 Blue Heron Dr,Loganville,GA,30052,CTY-002,3,2.0,1719,2018,2018-05-21,361500,2460,occupied,LSE-000217
PROP-00076,grove-at-rosebud,1093 Sable Dr,Loganville,GA,30052,CTY-002,3,2.0,2089,2021,2021-10-08,419400,2505,occupied,LSE-000220
PROP-00077,grove-at-rosebud,1733 Sable Trl,Loganville,GA,30052,CTY-002,3,2.5,1610,2021,2021-06-27,354000,2395,occupied,LSE-000224
PROP-00078,grove-at-rosebud,2061 Ironwood Dr,Loganville,GA,30052,CTY-002,3,2.0,1669,2016,2016-04-01,422100,2560,occupied,LSE-000227
PROP-00079,grove-at-rosebud,8068 Juniper Ln,Loganville,GA,30052,CTY-002,3,2.0,1993,2022,2022-02-20,368500,2565,occupied,LSE-000229
PROP-00080,grove-at-rosebud,5672 Larkspur Ln,Loganville,GA,30052,CTY-002,3,2.0,2150,2024,2024-02-04,453200,2600,occupied,LSE-000231
PROP-00081,grove-at-rosebud,423 Redbud Cir,Loganville,GA,30052,CTY-002,3,2.0,1851,2020,2020-02-18,361700,2560,occupied,LSE-000235
PROP-00082,grove-at-rosebud,7081 Summit Dr,Loganville,GA,30052,CTY-002,3,2.5,2084,2017,2017-06-05,450400,2640,occupied,LSE-000239
PROP-00083,grove-at-rosebud,4225 Bellflower Trl,Loganville,GA,30052,CTY-002,3,2.5,1780,2022,2022-03-22,437300,2415,occupied,LSE-000242
PROP-00084,grove-at-rosebud,3738 Magnolia Cir,Loganville,GA,30052,CTY-002,3,2.0,1941,2017,2017-07-27,397400,2480,vacant,
PROP-00085,grove-at-rosebud,7389 Silver Oak Ln,Loganville,GA,30052,CTY-002,3,2.5,1804,2022,2022-10-26,416000,2445,vacant,
PROP-00086,grove-at-rosebud,5207 Sable Way,Loganville,GA,30052,CTY-002,3,2.5,1749,2020,2020-07-06,376200,2565,vacant,
PROP-00087,grove-at-rosebud,800 Magnolia Path,Loganville,GA,30052,CTY-002,3,2.5,1899,2022,2022-06-13,422900,2480,occupied,LSE-000254
PROP-00088,grove-at-rosebud,636 Cypress Ct,Loganville,GA,30052,CTY-002,3,2.5,1891,2022,2022-12-22,497700,2625,occupied,LSE-000256
PROP-00089,grove-at-rosebud,6951 Marigold Xing,Loganville,GA,30052,CTY-002,3,2.5,1832,2017,2017-11-05,451500,2425,occupied,LSE-000258
PROP-00090,grove-at-rosebud,6488 Tanglewood Trl,Loganville,GA,30052,CTY-002,3,2.5,1777,2020,2020-12-12,380300,2560,occupied,LSE-000261
