paymentId,leaseId,propertyId,residentId,dueDate,amountDue,amountPaid,paidDate,daysLate,status
PAY-0000001,LSE-000002,PROP-00001,RES-00002,2023-10-01,2770,0,2023-10-01,0,waived
PAY-0000002,LSE-000002,PROP-00001,RES-00002,2023-11-01,2770,2770,2023-11-01,0,paid
PAY-0000003,LSE-000002,PROP-00001,RES-00002,2023-12-01,2770,2770,2023-12-03,0,paid
PAY-0000004,LSE-000002,PROP-00001,RES-00002,2024-01-01,2770,2770,2024-01-01,0,paid
PAY-0000005,LSE-000002,PROP-00001,RES-00002,2024-02-01,2770,2770,2024-02-01,0,paid
PAY-0000006,LSE-000002,PROP-00001,RES-00002,2024-03-01,2770,0,,,missed
PAY-0000007,LSE-000002,PROP-00001,RES-00002,2024-04-01,2770,2770,2024-04-03,0,paid
PAY-0000008,LSE-000002,PROP-00001,RES-00002,2024-05-01,2770,2770,2024-05-02,0,paid
PAY-0000009,LSE-000002,PROP-00001,RES-00002,2024-06-01,2770,2770,2024-06-03,0,paid
PAY-0000010,LSE-000002,PROP-00001,RES-00002,2024-07-01,2770,1734,2024-07-13,12,partial
PAY-0000011,LSE-000002,PROP-00001,RES-00002,2024-08-01,2770,2770,2024-08-01,0,paid
PAY-0000012,LSE-000002,PROP-00001,RES-00002,2024-09-01,2770,2770,2024-09-01,0,paid
PAY-0000013,LSE-000002,PROP-00001,RES-00002,2024-10-01,2770,2770,2024-10-01,0,paid
PAY-0000014,LSE-000002,PROP-00001,RES-00002,2024-11-01,2770,2770,2024-11-01,0,paid
PAY-0000015,LSE-000002,PROP-00001,RES-00002,2024-12-01,2770,2770,2024-12-02,0,paid
PAY-0000016,LSE-000002,PROP-00001,RES-00002,2025-01-01,2770,2770,2025-01-02,0,paid
PAY-0000017,LSE-000002,PROP-00001,RES-00002,2025-02-01,2770,2770,2025-02-01,0,paid
PAY-0000018,LSE-000002,PROP-00001,RES-00002,2025-03-01,2770,2149,2025-04-04,34,partial
PAY-0000019,LSE-000002,PROP-00001,RES-00002,2025-04-01,2770,2770,2025-04-01,0,paid
PAY-0000020,LSE-000002,PROP-00001,RES-00002,2025-05-01,2770,2770,2025-05-03,0,paid
PAY-0000021,LSE-000002,PROP-00001,RES-00002,2025-06-01,2770,2770,2025-06-02,0,paid
PAY-0000022,LSE-000002,PROP-00001,RES-00002,2025-07-01,2770,2770,2025-07-02,0,paid
PAY-0000023,LSE-000002,PROP-00001,RES-00002,2025-08-01,2770,2770,2025-08-03,0,paid
