assessmentId,propertyId,countyId,taxYear,assessedValue,priorAssessedValue,changePct,appealStatus,appealSavings
ASM-000001,PROP-00001,CTY-001,2024,454151,,0.0,none,0
ASM-000002,PROP-00001,CTY-001,2025,483307,454151,0.0642,none,0
ASM-000003,PROP-00001,CTY-001,2026,502248,483307,0.0392,none,0
ASM-000004,PROP-00002,CTY-001,2024,360607,,0.0,none,0
ASM-000005,PROP-00002,CTY-001,2025,373182,360607,0.0349,none,0
ASM-000006,PROP-00002,CTY-001,2026,390129,373182,0.0454,none,0
ASM-000007,PROP-00003,CTY-001,2024,457173,,0.0,none,0
ASM-000008,PROP-00003,CTY-001,2025,477301,457173,0.044,none,0
ASM-000009,PROP-00003,CTY-001,2026,501027,477301,0.0497,none,0
ASM-000010,PROP-00004,CTY-001,2024,388609,,0.0,none,0
ASM-000011,PROP-00004,CTY-001,2025,418895,388609,0.0779,none,0
ASM-000012,PROP-00004,CTY-001,2026,445671,418895,0.0639,none,0
ASM-000013,PROP-00005,CTY-001,2024,391950,,0.0,none,0
ASM-000014,PROP-00005,CTY-001,2025,407388,391950,0.0394,none,0
ASM-000015,PROP-00005,CTY-001,2026,436416,407388,0.0713,none,0
ASM-000016,PROP-00006,CTY-001,2024,407710,,0.0,none,0
ASM-000017,PROP-00006,CTY-001,2025,436008,407710,0.0694,none,0
ASM-000018,PROP-00006,CTY-001,2026,454196,436008,0.0417,none,0
ASM-000019,PROP-00007,CTY-001,2024,357810,,0.0,none,0
ASM-000020,PROP-00007,CTY-001,2025,380014,357810,0.0621,none,0
ASM-000021,PROP-00007,CTY-001,2026,393448,380014,0.0354,none,0
ASM-000022,PROP-00008,CTY-001,2024,429863,,0.0,none,0
ASM-000023,PROP-00008,CTY-001,2025,449306,429863,0.0452,none,0
ASM-000024,PROP-00008,CTY-001,2026,483252,449306,0.0756,none,0
ASM-000025,PROP-00009,CTY-001,2024,481267,,0.0,none,0
ASM-000026,PROP-00009,CTY-001,2025,502151,481267,0.0434,none,0
ASM-000027,PROP-00009,CTY-001,2026,533703,502151,0.0628,none,0
ASM-000028,PROP-00010,CTY-001,2024,345335,,0.0,none,0
ASM-000029,PROP-00010,CTY-001,2025,368199,345335,0.0662,none,0
ASM-000030,PROP-00010,CTY-001,2026,384674,368199,0.0447,none,0
ASM-000031,PROP-00011,CTY-001,2024,419067,,0.0,none,0
ASM-000032,PROP-00011,CTY-001,2025,446149,419067,0.0646,none,0
ASM-000033,PROP-00011,CTY-001,2026,471612,446149,0.0571,none,0
ASM-000034,PROP-00012,CTY-001,2024,379927,,0.0,none,0
ASM-000035,PROP-00012,CTY-001,2025,403513,379927,0.0621,none,0
ASM-000036,PROP-00012,CTY-001,2026,425086,403513,0.0535,none,0
ASM-000037,PROP-00013,CTY-001,2024,361539,,0.0,none,0
ASM-000038,PROP-00013,CTY-001,2025,377575,361539,0.0444,none,0
ASM-000039,PROP-00013,CTY-001,2026,395641,377575,0.0478,none,0
ASM-000040,PROP-00014,CTY-001,2024,364281,,0.0,none,0
ASM-000041,PROP-00014,CTY-001,2025,379043,364281,0.0405,none,0
ASM-000042,PROP-00014,CTY-001,2026,398334,379043,0.0509,none,0
ASM-000043,PROP-00015,CTY-001,2024,357382,,0.0,none,0
ASM-000044,PROP-00015,CTY-001,2025,374738,357382,0.0486,none,0
ASM-000045,PROP-00015,CTY-001,2026,396421,374738,0.0579,none,0
ASM-000046,PROP-00016,CTY-001,2024,384568,,0.0,none,0
ASM-000047,PROP-00016,CTY-001,2025,403349,384568,0.0488,none,0
ASM-000048,PROP-00016,CTY-001,2026,426446,403349,0.0573,none,0
ASM-000049,PROP-00017,CTY-001,2024,447414,,0.0,none,0
ASM-000050,PROP-00017,CTY-001,2025,467034,447414,0.0439,none,0
ASM-000051,PROP-00017,CTY-001,2026,505652,467034,0.0827,none,0
ASM-000052,PROP-00018,CTY-001,2024,446658,,0.0,none,0
ASM-000053,PROP-00018,CTY-001,2025,462598,446658,0.0357,none,0
ASM-000054,PROP-00018,CTY-001,2026,479604,462598,0.0368,none,0
ASM-000055,PROP-00019,CTY-001,2024,402892,,0.0,none,0
ASM-000056,PROP-00019,CTY-001,2025,427389,402892,0.0608,none,0
ASM-000057,PROP-00019,CTY-001,2026,450637,427389,0.0544,none,0
ASM-000058,PROP-00020,CTY-001,2024,379754,,0.0,none,0
ASM-000059,PROP-00020,CTY-001,2025,395093,379754,0.0404,none,0
ASM-000060,PROP-00020,CTY-001,2026,408805,395093,0.0347,none,0
ASM-000061,PROP-00021,CTY-001,2024,510470,,0.0,none,0
ASM-000062,PROP-00021,CTY-001,2025,552865,510470,0.0831,none,0
ASM-000063,PROP-00021,CTY-001,2026,588770,552865,0.0649,none,0
ASM-000064,PROP-00022,CTY-001,2024,491655,,0.0,none,0
ASM-000065,PROP-00022,CTY-001,2025,517868,491655,0.0533,none,0
ASM-000066,PROP-00022,CTY-001,2026,558219,517868,0.0779,none,0
ASM-000067,PROP-00023,CTY-001,2024,402984,,0.0,none,0
ASM-000068,PROP-00023,CTY-001,2025,428370,402984,0.063,none,0
ASM-000069,PROP-00023,CTY-001,2026,459519,428370,0.0727,none,0
ASM-000070,PROP-00024,CTY-001,2024,454231,,0.0,none,0
ASM-000071,PROP-00024,CTY-001,2025,480447,454231,0.0577,none,0
ASM-000072,PROP-00024,CTY-001,2026,509321,480447,0.0601,none,0
ASM-000073,PROP-00025,CTY-001,2024,426152,,0.0,none,0
ASM-000074,PROP-00025,CTY-001,2025,451314,426152,0.059,none,0
ASM-000075,PROP-00025,CTY-001,2026,488092,451314,0.0815,none,0
ASM-000076,PROP-00026,CTY-001,2024,400974,,0.0,none,0
ASM-000077,PROP-00026,CTY-001,2025,421980,400974,0.0524,none,0
ASM-000078,PROP-00026,CTY-001,2026,438630,421980,0.0395,none,0
ASM-000079,PROP-00027,CTY-001,2024,422541,,0.0,none,0
ASM-000080,PROP-00027,CTY-001,2025,450565,422541,0.0663,none,0
ASM-000081,PROP-00027,CTY-001,2026,473776,450565,0.0515,none,0
ASM-000082,PROP-00028,CTY-001,2024,364999,,0.0,none,0
ASM-000083,PROP-00028,CTY-001,2025,386462,364999,0.0588,none,0
ASM-000084,PROP-00028,CTY-001,2026,410738,386462,0.0628,none,0
ASM-000085,PROP-00029,CTY-001,2024,433995,,0.0,none,0
ASM-000086,PROP-00029,CTY-001,2025,469218,433995,0.0812,none,0
ASM-000087,PROP-00029,CTY-001,2026,494709,469218,0.0543,none,0
ASM-000088,PROP-00030,CTY-001,2024,397936,,0.0,none,0
ASM-000089,PROP-00030,CTY-001,2025,423957,397936,0.0654,none,0
ASM-000090,PROP-00030,CTY-001,2026,458457,423957,0.0814,none,0
ASM-000091,PROP-00031,CTY-001,2024,352864,,0.0,none,0
ASM-000092,PROP-00031,CTY-001,2025,377683,352864,0.0703,none,0
ASM-000093,PROP-00031,CTY-001,2026,399073,377683,0.0566,none,0
ASM-000094,PROP-00032,CTY-001,2024,362772,,0.0,none,0
ASM-000095,PROP-00032,CTY-001,2025,391825,362772,0.0801,none,0
ASM-000096,PROP-00032,CTY-001,2026,407338,391825,0.0396,none,0
ASM-000097,PROP-00033,CTY-001,2024,358235,,0.0,none,0
ASM-000098,PROP-00033,CTY-001,2025,380354,358235,0.0617,none,0
ASM-000099,PROP-00033,CTY-001,2026,408923,380354,0.0751,none,0
ASM-000100,PROP-00034,CTY-001,2024,344982,,0.0,none,0
ASM-000101,PROP-00034,CTY-001,2025,358587,344982,0.0394,none,0
ASM-000102,PROP-00034,CTY-001,2026,378370,358587,0.0552,none,0
ASM-000103,PROP-00035,CTY-001,2024,461717,,0.0,none,0
ASM-000104,PROP-00035,CTY-001,2025,491930,461717,0.0654,none,0
ASM-000105,PROP-00035,CTY-001,2026,524045,491930,0.0653,none,0
ASM-000106,PROP-00036,CTY-001,2024,382494,,0.0,none,0
ASM-000107,PROP-00036,CTY-001,2025,409710,382494,0.0712,none,0
ASM-000108,PROP-00036,CTY-001,2026,427268,409710,0.0429,none,0
ASM-000109,PROP-00037,CTY-001,2024,425395,,0.0,none,0
ASM-000110,PROP-00037,CTY-001,2025,451798,425395,0.0621,none,0
ASM-000111,PROP-00037,CTY-001,2026,470192,451798,0.0407,none,0
ASM-000112,PROP-00038,CTY-001,2024,354499,,0.0,none,0
ASM-000113,PROP-00038,CTY-001,2025,383268,354499,0.0812,none,0
ASM-000114,PROP-00038,CTY-001,2026,409188,383268,0.0676,none,0
ASM-000115,PROP-00039,CTY-001,2024,406079,,0.0,none,0
ASM-000116,PROP-00039,CTY-001,2025,432047,406079,0.0639,none,0
ASM-000117,PROP-00039,CTY-001,2026,465165,432047,0.0767,none,0
ASM-000118,PROP-00040,CTY-001,2024,350093,,0.0,none,0
ASM-000119,PROP-00040,CTY-001,2025,363908,350093,0.0395,none,0
ASM-000120,PROP-00040,CTY-001,2026,389999,363908,0.0717,none,0
ASM-000121,PROP-00041,CTY-001,2024,482101,,0.0,none,0
ASM-000122,PROP-00041,CTY-001,2025,504242,482101,0.0459,none,0
ASM-000123,PROP-00041,CTY-001,2026,542985,504242,0.0768,none,0
ASM-000124,PROP-00042,CTY-001,2024,440958,,0.0,none,0
ASM-000125,PROP-00042,CTY-001,2025,466601,440958,0.0582,none,0
ASM-000126,PROP-00042,CTY-001,2026,503537,466601,0.0792,none,0
ASM-000127,PROP-00043,CTY-001,2024,453134,,0.0,none,0
ASM-000128,PROP-00043,CTY-001,2025,480568,453134,0.0605,none,0
ASM-000129,PROP-00043,CTY-001,2026,513118,480568,0.0677,none,0
ASM-000130,PROP-00044,CTY-001,2024,402678,,0.0,none,0
ASM-000131,PROP-00044,CTY-001,2025,418777,402678,0.04,none,0
ASM-000132,PROP-00044,CTY-001,2026,449218,418777,0.0727,none,0
ASM-000133,PROP-00045,CTY-001,2024,379519,,0.0,none,0
ASM-000134,PROP-00045,CTY-001,2025,400471,379519,0.0552,none,0
ASM-000135,PROP-00045,CTY-001,2026,420477,400471,0.05,none,0
ASM-000136,PROP-00046,CTY-001,2024,431820,,0.0,none,0
ASM-000137,PROP-00046,CTY-001,2025,467293,431820,0.0821,none,0
ASM-000138,PROP-00046,CTY-001,2026,491973,467293,0.0528,none,0
ASM-000139,PROP-00047,CTY-001,2024,407621,,0.0,none,0
