billId,assessmentId,propertyId,countyId,taxYear,amountDue,dueDate,paidDate,status
TAX-000001,ASM-000001,PROP-00001,CTY-001,2024,5020,2024-11-01,2024-10-20,paid
TAX-000002,ASM-000002,PROP-00001,CTY-001,2025,5288,2025-11-01,2025-10-29,paid
TAX-000003,ASM-000003,PROP-00001,CTY-001,2026,5654,2026-11-01,,outstanding
TAX-000004,ASM-000004,PROP-00002,CTY-001,2024,4580,2024-11-01,2024-09-25,paid
TAX-000005,ASM-000005,PROP-00002,CTY-001,2025,4771,2025-11-01,2025-09-27,paid
TAX-000006,ASM-000006,PROP-00002,CTY-001,2026,4955,2026-11-01,,outstanding
TAX-000007,ASM-000007,PROP-00003,CTY-001,2024,3978,2024-11-01,2024-10-31,paid
TAX-000008,ASM-000008,PROP-00003,CTY-001,2025,4276,2025-11-01,2025-10-10,paid
TAX-000009,ASM-000009,PROP-00003,CTY-001,2026,4567,2026-11-01,,outstanding
TAX-000010,ASM-000010,PROP-00004,CTY-001,2024,4788,2024-11-01,2024-10-04,paid
TAX-000011,ASM-000011,PROP-00004,CTY-001,2025,4952,2025-11-01,2025-10-16,paid
TAX-000012,ASM-000012,PROP-00004,CTY-001,2026,5123,2026-11-01,,outstanding
TAX-000013,ASM-000013,PROP-00005,CTY-001,2024,4785,2024-11-01,2024-10-27,paid
TAX-000014,ASM-000014,PROP-00005,CTY-001,2025,4975,2025-11-01,2025-10-08,paid
TAX-000015,ASM-000015,PROP-00005,CTY-001,2026,5297,2026-11-01,,outstanding
TAX-000016,ASM-000016,PROP-00006,CTY-001,2024,4051,2024-11-01,2024-09-26,paid
TAX-000017,ASM-000017,PROP-00006,CTY-001,2025,4228,2025-11-01,2025-10-28,paid
TAX-000018,ASM-000018,PROP-00006,CTY-001,2026,4423,2026-11-01,,outstanding
TAX-000019,ASM-000019,PROP-00007,CTY-001,2024,4230,2024-11-01,2024-10-30,paid
TAX-000020,ASM-000020,PROP-00007,CTY-001,2025,4450,2025-11-01,2025-10-22,paid
TAX-000021,ASM-000021,PROP-00007,CTY-001,2026,4816,2026-11-01,,outstanding
TAX-000022,ASM-000022,PROP-00008,CTY-001,2024,4741,2024-11-01,2024-10-14,paid
TAX-000023,ASM-000023,PROP-00008,CTY-001,2025,5087,2025-11-01,2025-10-28,paid
TAX-000024,ASM-000024,PROP-00008,CTY-001,2026,5297,2026-11-01,,outstanding
TAX-000025,ASM-000025,PROP-00009,CTY-001,2024,4218,2024-11-01,2024-10-10,paid
TAX-000026,ASM-000026,PROP-00009,CTY-001,2025,4567,2025-11-01,2025-09-29,paid
TAX-000027,ASM-000027,PROP-00009,CTY-001,2026,4840,2026-11-01,,outstanding
TAX-000028,ASM-000028,PROP-00010,CTY-001,2024,4277,2024-11-01,2024-09-24,paid
TAX-000029,ASM-000029,PROP-00010,CTY-001,2025,4616,2025-11-01,2025-10-24,paid
TAX-000030,ASM-000030,PROP-00010,CTY-001,2026,4818,2026-11-01,,outstanding
TAX-000031,ASM-000031,PROP-00011,CTY-001,2024,5083,2024-11-01,2024-09-29,paid
TAX-000032,ASM-000032,PROP-00011,CTY-001,2025,5356,2025-11-01,2025-10-02,paid
TAX-000033,ASM-000033,PROP-00011,CTY-001,2026,5705,2026-11-01,,outstanding
TAX-000034,ASM-000034,PROP-00012,CTY-001,2024,4616,2024-11-01,2024-10-26,paid
TAX-000035,ASM-000035,PROP-00012,CTY-001,2025,4801,2025-11-01,2025-10-10,paid
TAX-000036,ASM-000036,PROP-00012,CTY-001,2026,5181,2026-11-01,,outstanding
TAX-000037,ASM-000037,PROP-00013,CTY-001,2024,4342,2024-11-01,2024-10-15,paid
TAX-000038,ASM-000038,PROP-00013,CTY-001,2025,4586,2025-11-01,2025-10-25,paid
TAX-000039,ASM-000039,PROP-00013,CTY-001,2026,4857,2026-11-01,,outstanding
TAX-000040,ASM-000040,PROP-00014,CTY-001,2024,4871,2024-11-01,2024-10-22,paid
TAX-000041,ASM-000041,PROP-00014,CTY-001,2025,5056,2025-11-01,2025-10-18,paid
TAX-000042,ASM-000042,PROP-00014,CTY-001,2026,5479,2026-11-01,,outstanding
TAX-000043,ASM-000043,PROP-00015,CTY-001,2024,5895,2024-11-01,2024-10-31,paid
TAX-000044,ASM-000044,PROP-00015,CTY-001,2025,6153,2025-11-01,2025-09-30,paid
TAX-000045,ASM-000045,PROP-00015,CTY-001,2026,6622,2026-11-01,,outstanding
TAX-000046,ASM-000046,PROP-00016,CTY-001,2024,4811,2024-11-01,2024-10-08,paid
TAX-000047,ASM-000047,PROP-00016,CTY-001,2025,5200,2025-11-01,2025-09-27,paid
TAX-000048,ASM-000048,PROP-00016,CTY-001,2026,5466,2026-11-01,,outstanding
TAX-000049,ASM-000049,PROP-00017,CTY-001,2024,4392,2024-11-01,2024-10-03,paid
TAX-000050,ASM-000050,PROP-00017,CTY-001,2025,4711,2025-11-01,2025-10-11,paid
TAX-000051,ASM-000051,PROP-00017,CTY-001,2026,4962,2026-11-01,,outstanding
TAX-000052,ASM-000052,PROP-00018,CTY-001,2024,4452,2024-11-01,2024-11-01,paid
TAX-000053,ASM-000053,PROP-00018,CTY-001,2025,4812,2025-11-01,2025-10-19,paid
TAX-000054,ASM-000054,PROP-00018,CTY-001,2026,5143,2026-11-01,,outstanding
TAX-000055,ASM-000055,PROP-00019,CTY-001,2024,4387,2024-11-01,2024-10-05,paid
TAX-000056,ASM-000056,PROP-00019,CTY-001,2025,4640,2025-11-01,2025-10-17,paid
TAX-000057,ASM-000057,PROP-00019,CTY-001,2026,4864,2026-11-01,,outstanding
TAX-000058,ASM-000058,PROP-00020,CTY-001,2024,3819,2024-11-01,2024-09-22,paid
TAX-000059,ASM-000059,PROP-00020,CTY-001,2025,4027,2025-11-01,2025-10-05,paid
TAX-000060,ASM-000060,PROP-00020,CTY-001,2026,4164,2026-11-01,,outstanding
TAX-000061,ASM-000061,PROP-00021,CTY-001,2024,4530,2024-11-01,2024-10-11,paid
TAX-000062,ASM-000062,PROP-00021,CTY-001,2025,4743,2025-11-01,2025-10-28,paid
TAX-000063,ASM-000063,PROP-00021,CTY-001,2026,5022,2026-11-01,,outstanding
TAX-000064,ASM-000064,PROP-00022,CTY-001,2024,4590,2024-11-01,2024-09-22,paid
TAX-000065,ASM-000065,PROP-00022,CTY-001,2025,4941,2025-11-01,2025-10-23,paid
TAX-000066,ASM-000066,PROP-00022,CTY-001,2026,5302,2026-11-01,,outstanding
TAX-000067,ASM-000067,PROP-00023,CTY-001,2024,5502,2024-11-01,2024-10-25,paid
TAX-000068,ASM-000068,PROP-00023,CTY-001,2025,5851,2025-11-01,2025-10-25,paid
TAX-000069,ASM-000069,PROP-00023,CTY-001,2026,6084,2026-11-01,,outstanding
TAX-000070,ASM-000070,PROP-00024,CTY-001,2024,4869,2024-11-01,2024-10-23,paid
TAX-000071,ASM-000071,PROP-00024,CTY-001,2025,5172,2025-11-01,2025-10-10,paid
TAX-000072,ASM-000072,PROP-00024,CTY-001,2026,5563,2026-11-01,,outstanding
TAX-000073,ASM-000073,PROP-00025,CTY-001,2024,5225,2024-11-01,2024-09-22,paid
TAX-000074,ASM-000074,PROP-00025,CTY-001,2025,5648,2025-11-01,2025-10-08,paid
TAX-000075,ASM-000075,PROP-00025,CTY-001,2026,5938,2026-11-01,,outstanding
TAX-000076,ASM-000076,PROP-00026,CTY-001,2024,4749,2024-11-01,2024-10-12,paid
TAX-000077,ASM-000077,PROP-00026,CTY-001,2025,4953,2025-11-01,2025-10-08,paid
TAX-000078,ASM-000078,PROP-00026,CTY-001,2026,5200,2026-11-01,,outstanding
TAX-000079,ASM-000079,PROP-00027,CTY-001,2024,4234,2024-11-01,2024-10-26,paid
TAX-000080,ASM-000080,PROP-00027,CTY-001,2025,4522,2025-11-01,2025-10-31,paid
TAX-000081,ASM-000081,PROP-00027,CTY-001,2026,4831,2026-11-01,,outstanding
TAX-000082,ASM-000082,PROP-00028,CTY-001,2024,5368,2024-11-01,2024-11-01,paid
TAX-000083,ASM-000083,PROP-00028,CTY-001,2025,5632,2025-11-01,2025-10-05,paid
TAX-000084,ASM-000084,PROP-00028,CTY-001,2026,5847,2026-11-01,,outstanding
TAX-000085,ASM-000085,PROP-00029,CTY-001,2024,4117,2024-11-01,2024-09-28,paid
TAX-000086,ASM-000086,PROP-00029,CTY-001,2025,4268,2025-11-01,2025-10-26,paid
TAX-000087,ASM-000087,PROP-00029,CTY-001,2026,4527,2026-11-01,,outstanding
TAX-000088,ASM-000088,PROP-00030,CTY-001,2024,4449,2024-11-01,2024-10-22,paid
TAX-000089,ASM-000089,PROP-00030,CTY-001,2025,4603,2025-11-01,2025-10-02,paid
TAX-000090,ASM-000090,PROP-00030,CTY-001,2026,4773,2026-11-01,,outstanding
TAX-000091,ASM-000091,PROP-00031,CTY-001,2024,4282,2024-11-01,2024-10-09,paid
TAX-000092,ASM-000092,PROP-00031,CTY-001,2025,4438,2025-11-01,2025-10-31,paid
TAX-000093,ASM-000093,PROP-00031,CTY-001,2026,4792,2026-11-01,,outstanding
TAX-000094,ASM-000094,PROP-00032,CTY-001,2024,5042,2024-11-01,2024-09-23,paid
TAX-000095,ASM-000095,PROP-00032,CTY-001,2025,5402,2025-11-01,2025-10-11,paid
TAX-000096,ASM-000096,PROP-00032,CTY-001,2026,5682,2026-11-01,,outstanding
TAX-000097,ASM-000097,PROP-00033,CTY-001,2024,4992,2024-11-01,2024-10-16,paid
TAX-000098,ASM-000098,PROP-00033,CTY-001,2025,5286,2025-11-01,2025-09-30,paid
TAX-000099,ASM-000099,PROP-00033,CTY-001,2026,5653,2026-11-01,,outstanding
TAX-000100,ASM-000100,PROP-00034,CTY-001,2024,4909,2024-11-01,2024-10-22,paid
TAX-000101,ASM-000101,PROP-00034,CTY-001,2025,5117,2025-11-01,2025-10-24,paid
TAX-000102,ASM-000102,PROP-00034,CTY-001,2026,5428,2026-11-01,,outstanding
TAX-000103,ASM-000103,PROP-00035,CTY-001,2024,4766,2024-11-01,2024-10-23,paid
