vendorId,vendorName,category,market,avgTurnaroundDays,onTimePct
VEN-0001,Evergreen Appliance,Appliance,atlanta,8.8,0.738
VEN-0002,Evergreen Electrical,Electrical,atlanta,3.3,0.918
VEN-0003,Delta HVAC,HVAC,atlanta,8.4,0.803
VEN-0004,Evergreen Landscaping,Landscaping,atlanta,8.2,0.918
VEN-0005,Pinnacle Plumbing,Plumbing,atlanta,7.5,0.89
VEN-0006,Blue Ridge Roof,Roof,atlanta,8.8,0.822
VEN-0007,Meridian Appliance,Appliance,carolinas,1.7,0.647
VEN-0008,Northstar Electrical,Electrical,carolinas,2.9,0.894
VEN-0009,Frontier General,General,carolinas,8.2,0.927
VEN-0010,Lone Star HVAC,HVAC,carolinas,1.6,0.914
VEN-0011,Evergreen Landscaping,Landscaping,carolinas,6.7,0.9
VEN-0012,Blue Ridge Plumbing,Plumbing,carolinas,5.6,0.744
VEN-0013,Quantum Roof,Roof,carolinas,5.0,0.671
VEN-0014,Juniper Turn,Turn,carolinas,2.7,0.7
VEN-0015,Apex Appliance,Appliance,dallas,6.3,0.848
VEN-0016,Pinnacle Electrical,Electrical,dallas,5.7,0.664
VEN-0017,Cardinal General,General,dallas,7.3,0.778
VEN-0018,Keystone HVAC,HVAC,dallas,9.5,0.869
VEN-0019,Optima Landscaping,Landscaping,dallas,6.3,0.961
VEN-0020,Optima Plumbing,Plumbing,dallas,5.5,0.971
VEN-0021,Delta Roof,Roof,dallas,3.3,0.954
VEN-0022,Rampart Appliance,Appliance,denver,6.6,0.655
VEN-0023,Juniper General,General,denver,1.8,0.76
VEN-0024,Lone Star HVAC,HVAC,denver,3.3,0.952
VEN-0025,Quantum Landscaping,Landscaping,denver,4.9,0.873
VEN-0026,Gulfstream Plumbing,Plumbing,denver,8.6,0.737
VEN-0027,Rampart Roof,Roof,denver,6.1,0.959
VEN-0028,Heritage Turn,Turn,denver,1.2,0.967
VEN-0029,Lone Star Appliance,Appliance,houston,8.5,0.698
VEN-0030,Optima Electrical,Electrical,houston,2.7,0.778
VEN-0031,Gulfstream General,General,houston,5.8,0.765
VEN-0032,Keystone HVAC,HVAC,houston,6.7,0.774
VEN-0033,Cardinal Landscaping,Landscaping,houston,1.8,0.797
VEN-0034,Delta Plumbing,Plumbing,houston,3.9,0.91
VEN-0035,Cardinal Roof,Roof,houston,2.3,0.927
VEN-0036,Optima Turn,Turn,houston,6.7,0.716
