slug,market,community_name,city,state
charlottes-ridge,atlanta,Charlotte's Ridge,Holly Springs,GA
grove-at-rosebud,atlanta,Grove at Rosebud,Loganville,GA
hanley-mill,atlanta,Hanley Mill,Covington,GA
moss-pointe,atlanta,Moss Pointe,Canton,GA
reynolds-bend,atlanta,Reynolds Bend,Bethlehem,GA
the-park-at-westfield-village,atlanta,The Park at Westfield Village,Covington,GA
the-reserve,atlanta,The Reserve,Dallas,GA
arborwood,carolinas,Arborwood,Monroe,NC
briers-edge-townes,carolinas,Briers Edge Townes,Charlotte,NC
cameron-commons,carolinas,Cameron Commons,Charlotte,NC
cherry-creek,carolinas,Cherry Creek,Haw River,NC
norwood-walk,carolinas,Norwood Walk,Troutman,NC
shannon-woods,carolinas,Shannon Woods,Maiden,NC
smith-farms,carolinas,Smith Farms,Charlotte,NC
the-grove-at-wendell,carolinas,The Grove at Wendell,Wendell,NC
arbordale-village,dallas,Arbordale Village,Forney,TX
bluebonnet-trail-townhomes,dallas,Bluebonnet Trail Townhomes,Arlington,TX
branch-village,dallas,Branch Village,Princeton,TX
eastland,dallas,Eastland,Crandall,TX
highbridge,dallas,Highbridge,Crandall,TX
landing-at-creekside,dallas,Landing at Creekside,Fort Worth,TX
rosemary-ridge,dallas,Rosemary Ridge,Fort Worth,TX
havenwood-at-harmony,denver,Havenwood at Harmony,Aurora,CO
lorson-ranch,denver,Lorson Ranch,Colorado Springs,CO
murphy-creek,denver,Murphy Creek,Aurora,CO
becker-fields,houston,Becker Fields,Hockley,TX
cielo,houston,Cielo,Conroe,TX
fountain-park,houston,Fountain Park,Stafford,TX
magnolia-springs,houston,Magnolia Springs,Montgomery,TX
myrtle-gardens,houston,Myrtle Gardens,Magnolia,TX
palisades-park,houston,Palisades Park,Houston,TX
tavola,houston,Tavola,New Caney,TX
gentle-woods,jacksonville,Gentle Woods,Jacksonville,FL
grove-point,jacksonville,Grove Point,Orange Park,FL
highland-chase,jacksonville,Highland Chase,Jacksonville,FL
laylas-place,jacksonville,Layla's Place,Jacksonville,FL
oyster-creek,jacksonville,Oyster Creek,Jacksonville,FL
spartina-cove,jacksonville,Spartina Cove,Jacksonville,FL
1082-townhomes,nashville,1082 Townhomes,Smyrna,TN
cedar-landing,nashville,Cedar Landing,Lebanon,TN
wyncliff,nashville,Wyncliff,Clarksville,TN
old-hickory,orlando,Old Hickory,St. Cloud,FL
parkside-trails,orlando,Parkside Trails,Clermont,FL
silverleaf-oaks,orlando,Silverleaf Oaks,Winter Garden,FL
tillman-lakes,orlando,Tillman Lakes,Melbourne,FL
tohoqua,orlando,Tohoqua,Kissimmee,FL
vineland-reserve,orlando,Vineland Reserve,Osteen,FL
copper-falls,phoenix,Copper Falls,Buckeye,AZ
higley-park,phoenix,Higley Park,Gilbert,AZ
las-casas-at-windrose,phoenix,Las Casas at Windrose,Litchfield Park,AZ
addenbrook,salt-lake-city,Addenbrook,West Jordan,UT
arcilla-ridge,san-antonio,Arcilla Ridge,San Antonio,TX
brookmill,san-antonio,Brookmill,San Antonio,TX
glendale,san-antonio,Glendale,New Braunfels,TX
silos,san-antonio,Silos,San Antonio,TX
southton-meadows,san-antonio,Southton Meadows,San Antonio,TX
preston-estates,south-florida,Preston Estates,Vero Beach,FL
cimarron-ridge,southern-california,Cimarron Ridge,Menifee,CA
bryant-square,tampa,Bryant Square,New Port Richey,FL
c5,tampa,C5,Fort Myers,FL
caldera,tampa,Caldera,Spring Hill,FL
caloosa-creek,tampa,Caloosa Creek,Cape Coral,FL
cypress-mill,tampa,Cypress Mill,Sun City Center,FL
estates-at-lake-hammock,tampa,Estates at Lake Hammock,Haines City,FL
greenwood-villas,tampa,Greenwood Villas,Fort Myers,FL
grove-pointe,tampa,Grove Pointe,Palmetto,FL
hawks-glen,tampa,Hawks Glen,Ruskin,FL
hawthorne-meadows,tampa,Hawthorne Meadows,Gibsonton,FL
hidden-palms,tampa,Hidden Palms,Venice,FL
pravela,tampa,Pravela,Palmetto,FL
silverlake,tampa,Silverlake,Lake Alfred,FL
spencer-creek,tampa,Spencer Creek,Ruskin,FL
twin-rivers,tampa,The Enclave at Twin Rivers,Parrish,FL
the-heights,tampa,The Heights,Tampa,FL
westport-townhouses,tampa,Westport Townhouses,Port Charlotte,FL
woodsdale-landing,tampa,Woodsdale Landing,Wesley Chapel,FL
